AGE,SCHOOL TYPE,GENDER,CASTE,FAMILY INCOME,OCCUPATION,MARRIED(YES/NO),ACADEMIC MARKS,NO OF SIBLINGS,WORK(YES/NO),CLASS,LOCATION,DROPOUT
14,GOVT,M,OBC,59000,LABOUR,YES,61,5,YES,4,RURAL,Y
15,PVT,M,OBC,300000,BUSINESS,NO,84,2,NO,8,RURAL,N
11,PVT,F,GEN,126116,LABOUR,NO,66,5,YES,4,URBAN,N
18,PVT,F,GEN,253538,ACCOUNTANT,NO,89,1,NO,9,URBAN,N
15,GOVT,M,OBC,75358,FARMER,NO,63,5,YES,4,RURAL,Y
17,PVT,M,ST,111062,TEACHER,NO,75,2,NO,9,RURAL,N
9,GOVT,M,GEN,59000,LABOUR,NO,60,3,YES,4,URBAN,Y
16,GOVT,F,GEN,86596,LABOUR,YES,59,4,YES,3,RURAL,Y
17,PVT,F,GEN,300000,BUSINESS,NO,86,1,NO,9,RURAL,N
11,GOVT,M,GEN,146723,ACCOUNTANT,NO,73,3,NO,4,RURAL,Y
16,PVT,F,GEN,256024,ACCOUNTANT,NO,89,2,NO,9,URBAN,N
15,GOVT,F,GEN,110136,LABOUR,NO,55,2,YES,4,RURAL,Y
17,PVT,F,GEN,132100,BUSINESS,NO,75,2,NO,10,URBAN,N
14,GOVT,M,OBC,98980,TEACHER,NO,74,3,YES,4,RURAL,Y
10,GOVT,F,GEN,89201,TEACHER,NO,75,5,NO,4,RURAL,Y
16,PVT,M,OBC,130406,PEON,NO,87,1,NO,10,URBAN,N
17,PVT,F,GEN,232024,BUSINESS,YES,87,3,NO,9,URBAN,N
15,GOVT,F,GEN,105280,FARMER,NO,63,1,NO,11,RURAL,N
17,GOVT,M,GEN,136162,FARMER,NO,61,1,YES,4,RURAL,Y
11,GOVT,M,SC,59000,LABOUR,NO,58,4,YES,3,RURAL,Y
18,PVT,F,GEN,297483,PEON,NO,86,1,NO,10,RURAL,N
16,GOVT,M,GEN,150712,TEACHER,NO,65,5,NO,10,RURAL,Y
12,GOVT,M,SC,86901,LABOUR,YES,79,4,YES,4,RURAL,Y
10,GOVT,M,OBC,81729,TEACHER,NO,67,5,NO,4,RURAL,Y
16,GOVT,M,GEN,125144,LABOUR,YES,58,2,NO,10,RURAL,Y
12,GOVT,M,OBC,106364,LABOUR,YES,55,4,NO,5,RURAL,Y
18,PVT,F,GEN,250865,TEACHER,NO,89,1,NO,11,RURAL,N
17,GOVT,F,OBC,300000,ACCOUNTANT,NO,89,1,NO,12,RURAL,N
17,PVT,F,GEN,300000,BUSINESS,YES,88,1,NO,9,URBAN,N
12,GOVT,M,ST,98602,LABOUR,NO,73,5,NO,3,RURAL,Y
18,GOVT,F,SC,221626,FARMER,YES,89,2,NO,10,RURAL,N
18,GOVT,F,GEN,112139,TEACHER,NO,55,1,NO,10,URBAN,N
18,PVT,F,GEN,209065,ACCOUNTANT,YES,84,1,NO,10,URBAN,N
13,PVT,M,ST,121736,LABOUR,YES,58,5,NO,3,URBAN,N
17,PVT,F,OBC,110510,FARMER,YES,88,3,YES,10,RURAL,Y
10,GOVT,M,OBC,59000,LABOUR,NO,59,5,NO,4,RURAL,Y
11,GOVT,M,SC,59000,PEON,YES,72,4,NO,3,URBAN,Y
17,PVT,F,OBC,300000,LABOUR,YES,89,1,NO,10,URBAN,N
18,GOVT,F,GEN,122404,BUSINESS,NO,72,4,NO,9,URBAN,Y
12,GOVT,M,OBC,100147,FARMER,YES,60,4,YES,4,RURAL,Y
10,GOVT,M,SC,104331,LABOUR,NO,76,3,NO,4,URBAN,N
16,PVT,F,GEN,263335,BUSINESS,NO,89,1,NO,8,URBAN,N
18,PVT,F,GEN,300000,TEACHER,NO,59,1,NO,10,RURAL,N
14,GOVT,M,SC,96760,LABOUR,NO,74,4,YES,5,RURAL,Y
18,PVT,F,GEN,232792,TEACHER,YES,74,3,NO,8,URBAN,N
17,GOVT,F,GEN,113968,PEON,NO,76,1,NO,11,URBAN,N
18,GOVT,F,GEN,148347,BUSINESS,NO,56,2,NO,9,RURAL,N
17,PVT,F,GEN,151687,ACCOUNTANT,NO,82,1,YES,12,RURAL,N
18,GOVT,M,OBC,146948,PEON,NO,77,1,YES,11,RURAL,Y
17,PVT,F,GEN,256013,BUSINESS,NO,86,3,NO,8,URBAN,Y
16,GOVT,F,GEN,74348,ACCOUNTANT,NO,74,2,NO,9,URBAN,N
15,GOVT,M,SC,101531,FARMER,NO,64,2,YES,5,RURAL,N
14,GOVT,M,SC,102731,FARMER,YES,60,4,YES,4,RURAL,Y
16,PVT,M,GEN,185028,ACCOUNTANT,NO,84,2,NO,9,RURAL,Y
14,GOVT,M,ST,59000,LABOUR,YES,59,4,YES,4,RURAL,Y
18,PVT,F,GEN,288074,BUSINESS,YES,85,1,NO,10,URBAN,N
13,GOVT,M,GEN,100645,FARMER,YES,66,3,YES,4,RURAL,Y
18,PVT,F,GEN,245967,BUSINESS,NO,89,1,NO,9,RURAL,N
12,GOVT,M,OBC,95477,LABOUR,NO,58,5,YES,4,RURAL,Y
13,GOVT,M,SC,68629,TEACHER,NO,76,5,NO,3,RURAL,Y
12,GOVT,M,GEN,88458,LABOUR,NO,74,4,NO,3,RURAL,Y
13,GOVT,M,SC,122847,LABOUR,NO,77,4,YES,3,URBAN,Y
13,GOVT,M,ST,119773,BUSINESS,NO,78,3,NO,9,URBAN,Y
17,PVT,M,GEN,122861,BUSINESS,NO,60,2,NO,4,URBAN,Y
17,PVT,F,GEN,300000,FARMER,NO,85,2,YES,10,URBAN,N
14,GOVT,M,OBC,79683,FARMER,NO,75,3,YES,4,RURAL,Y
17,PVT,M,GEN,280849,BUSINESS,NO,88,1,NO,10,RURAL,N
16,PVT,F,GEN,216838,BUSINESS,YES,89,2,NO,10,URBAN,N
17,PVT,F,GEN,260444,ACCOUNTANT,NO,84,1,NO,9,URBAN,N
18,PVT,F,GEN,110965,BUSINESS,NO,84,1,NO,8,RURAL,N
16,PVT,F,GEN,111595,BUSINESS,YES,83,1,NO,7,URBAN,N
12,GOVT,M,GEN,132584,PEON,NO,62,2,YES,5,RURAL,Y
14,GOVT,M,GEN,92777,PEON,NO,71,5,NO,3,RURAL,N
12,GOVT,M,SC,66959,LABOUR,NO,64,3,YES,5,RURAL,Y
12,GOVT,M,SC,92550,LABOUR,NO,61,4,YES,3,RURAL,Y
18,GOVT,F,GEN,300000,ACCOUNTANT,NO,85,1,NO,9,URBAN,N
16,PVT,F,GEN,248397,ACCOUNTANT,NO,82,3,NO,10,RURAL,N
16,PVT,M,GEN,123791,FARMER,NO,60,2,NO,8,RURAL,Y
17,PVT,F,GEN,123448,BUSINESS,NO,76,1,NO,9,URBAN,N
15,PVT,M,GEN,69869,LABOUR,NO,55,4,NO,3,URBAN,Y
13,GOVT,M,OBC,59000,LABOUR,NO,75,4,YES,4,RURAL,Y
18,PVT,M,OBC,137645,PEON,NO,67,1,YES,5,RURAL,N
11,GOVT,M,SC,93712,LABOUR,NO,55,4,YES,4,RURAL,Y
17,PVT,F,GEN,300000,BUSINESS,NO,89,1,NO,8,URBAN,N
17,PVT,M,GEN,69033,ACCOUNTANT,YES,86,3,NO,8,URBAN,Y
18,PVT,F,GEN,253625,BUSINESS,NO,87,2,NO,10,URBAN,N
17,GOVT,M,OBC,120958,PEON,NO,63,1,YES,10,RURAL,Y
13,GOVT,M,GEN,67463,FARMER,YES,64,4,NO,4,RURAL,Y
12,GOVT,M,SC,109773,ACCOUNTANT,NO,75,5,YES,3,RURAL,Y
17,PVT,F,GEN,246422,ACCOUNTANT,NO,83,1,NO,9,URBAN,N
13,GOVT,M,SC,59856,LABOUR,NO,57,5,YES,3,RURAL,Y
18,PVT,F,GEN,98809,ACCOUNTANT,NO,60,2,NO,11,RURAL,N
17,PVT,F,GEN,160603,ACCOUNTANT,YES,89,1,NO,7,URBAN,Y
13,GOVT,M,OBC,64218,LABOUR,NO,57,5,YES,4,RURAL,Y
18,PVT,M,GEN,165984,BUSINESS,NO,76,1,YES,10,RURAL,N
16,PVT,M,GEN,167209,ACCOUNTANT,NO,83,2,NO,12,RURAL,N
13,GOVT,F,SC,97943,LABOUR,NO,64,2,YES,4,RURAL,Y
14,GOVT,M,SC,139638,TEACHER,NO,73,5,YES,5,RURAL,Y
15,GOVT,M,OBC,92512,FARMER,NO,62,3,YES,5,RURAL,Y
14,GOVT,M,OBC,141798,LABOUR,NO,75,3,NO,10,RURAL,N
12,GOVT,M,SC,80713,LABOUR,NO,55,4,YES,4,RURAL,Y
14,GOVT,M,SC,59000,FARMER,NO,65,3,YES,6,RURAL,Y
16,PVT,F,GEN,227009,BUSINESS,YES,87,1,NO,9,URBAN,N
16,GOVT,F,GEN,131180,FARMER,YES,74,2,NO,7,RURAL,N
13,GOVT,M,SC,65643,LABOUR,NO,55,4,YES,4,RURAL,Y
13,GOVT,M,ST,77050,LABOUR,NO,59,4,YES,5,RURAL,Y
17,GOVT,F,OBC,174890,PEON,NO,76,1,NO,10,RURAL,N
17,PVT,F,GEN,300000,ACCOUNTANT,YES,89,1,NO,10,URBAN,N
17,PVT,F,GEN,140119,ACCOUNTANT,NO,89,1,NO,10,URBAN,N
16,GOVT,M,GEN,239102,LABOUR,NO,75,5,NO,3,RURAL,Y
11,GOVT,M,ST,74077,LABOUR,NO,57,3,YES,4,RURAL,Y
17,PVT,F,GEN,94292,LABOUR,NO,73,3,NO,9,URBAN,Y
18,GOVT,M,GEN,112309,LABOUR,NO,75,2,NO,4,URBAN,N
9,GOVT,M,OBC,80278,LABOUR,NO,65,4,YES,3,RURAL,Y
18,PVT,F,GEN,132800,LABOUR,NO,89,2,NO,9,URBAN,Y
11,GOVT,M,OBC,59000,LABOUR,YES,55,5,NO,3,URBAN,Y
11,GOVT,F,GEN,165453,PEON,YES,77,2,NO,10,RURAL,N
18,GOVT,F,GEN,83011,TEACHER,NO,67,1,NO,3,URBAN,Y
17,PVT,F,GEN,73901,TEACHER,YES,86,3,NO,9,URBAN,N
13,PVT,M,OBC,99660,TEACHER,NO,58,3,NO,3,RURAL,Y
18,GOVT,M,GEN,95169,LABOUR,NO,68,1,NO,10,RURAL,Y
18,GOVT,F,OBC,118518,BUSINESS,NO,70,3,YES,12,RURAL,N
17,GOVT,M,OBC,258011,BUSINESS,YES,89,2,NO,8,URBAN,N
17,PVT,F,GEN,255460,BUSINESS,NO,89,2,NO,9,URBAN,N
10,GOVT,F,OBC,73074,ACCOUNTANT,NO,72,2,YES,8,RURAL,Y
15,PVT,F,GEN,124624,FARMER,NO,64,1,NO,9,RURAL,N
12,GOVT,F,GEN,266340,LABOUR,NO,88,2,NO,9,URBAN,N
16,GOVT,F,GEN,120001,BUSINESS,NO,75,2,NO,11,RURAL,N
16,PVT,F,GEN,300000,ACCOUNTANT,YES,89,1,NO,10,URBAN,N
11,GOVT,M,OBC,113441,TEACHER,NO,78,3,YES,3,RURAL,Y
18,GOVT,F,GEN,81707,ACCOUNTANT,NO,81,1,NO,11,RURAL,N
17,PVT,F,GEN,282806,LABOUR,YES,85,2,NO,8,URBAN,N
15,GOVT,M,ST,117325,PEON,NO,60,4,YES,4,RURAL,Y
14,GOVT,M,SC,59000,LABOUR,NO,56,5,YES,3,RURAL,Y
11,GOVT,M,ST,95974,LABOUR,NO,73,4,NO,3,RURAL,Y
9,GOVT,F,GEN,59000,LABOUR,YES,76,5,NO,3,URBAN,Y
18,GOVT,M,OBC,123977,FARMER,NO,60,5,YES,5,RURAL,Y
13,GOVT,M,SC,113790,LABOUR,NO,63,4,YES,4,RURAL,Y
13,GOVT,M,SC,97171,LABOUR,NO,56,3,YES,5,RURAL,Y
18,GOVT,M,GEN,139401,ACCOUNTANT,NO,78,2,YES,10,URBAN,N
12,GOVT,M,GEN,131895,FARMER,NO,58,1,YES,3,RURAL,Y
11,GOVT,M,GEN,72403,PEON,NO,71,5,NO,3,RURAL,Y
16,GOVT,M,OBC,136227,LABOUR,NO,55,1,YES,5,RURAL,N
11,GOVT,M,GEN,89158,LABOUR,YES,65,5,NO,3,RURAL,Y
18,PVT,F,GEN,259292,ACCOUNTANT,YES,85,1,NO,10,URBAN,N
17,PVT,F,GEN,300000,BUSINESS,NO,88,1,NO,7,URBAN,N
14,GOVT,M,OBC,113883,FARMER,NO,55,1,YES,12,RURAL,N
17,GOVT,F,OBC,99416,LABOUR,NO,80,4,YES,4,RURAL,N
12,GOVT,M,ST,69404,LABOUR,YES,77,3,NO,3,URBAN,Y
15,GOVT,M,OBC,117035,ACCOUNTANT,YES,64,5,YES,4,RURAL,Y
13,GOVT,M,SC,67572,FARMER,NO,63,4,YES,3,RURAL,Y
11,GOVT,M,OBC,91220,ACCOUNTANT,NO,62,3,YES,3,RURAL,Y
14,PVT,M,GEN,84702,LABOUR,YES,62,5,NO,3,URBAN,Y
15,GOVT,M,GEN,296563,ACCOUNTANT,YES,82,2,YES,8,RURAL,Y
17,GOVT,M,SC,107539,LABOUR,NO,67,3,YES,5,RURAL,Y
12,GOVT,M,GEN,94699,LABOUR,NO,60,5,YES,4,RURAL,Y
13,GOVT,M,OBC,59000,LABOUR,NO,62,4,YES,3,RURAL,Y
13,GOVT,M,OBC,59000,FARMER,NO,60,5,YES,3,RURAL,Y
17,PVT,F,GEN,216309,ACCOUNTANT,YES,89,2,NO,10,URBAN,Y
10,GOVT,M,SC,64940,LABOUR,NO,59,4,YES,3,RURAL,Y
17,PVT,F,GEN,300000,BUSINESS,NO,88,1,NO,10,URBAN,N
17,PVT,F,GEN,300000,BUSINESS,NO,86,1,YES,10,URBAN,N
12,PVT,M,GEN,114303,LABOUR,NO,55,2,YES,3,RURAL,N
13,GOVT,M,OBC,69855,PEON,NO,63,5,YES,4,RURAL,Y
17,GOVT,M,GEN,93172,BUSINESS,NO,85,1,YES,4,RURAL,N
13,GOVT,M,SC,94565,FARMER,NO,64,3,YES,5,RURAL,Y
17,PVT,F,ST,201725,ACCOUNTANT,YES,89,2,NO,8,URBAN,N
16,PVT,M,GEN,68967,LABOUR,NO,74,2,NO,3,URBAN,Y
15,GOVT,M,OBC,100045,FARMER,NO,68,2,YES,5,RURAL,Y
15,GOVT,M,OBC,104376,FARMER,NO,59,1,YES,5,RURAL,N
11,GOVT,M,OBC,106018,LABOUR,YES,55,5,NO,3,URBAN,Y
12,GOVT,M,ST,75088,PEON,NO,61,4,YES,3,RURAL,Y
11,GOVT,M,GEN,282117,LABOUR,YES,89,4,NO,4,RURAL,Y
17,GOVT,F,GEN,120417,PEON,YES,63,1,NO,11,RURAL,N
12,PVT,F,GEN,73571,BUSINESS,NO,55,4,NO,10,RURAL,N
18,GOVT,M,GEN,116138,LABOUR,YES,58,4,YES,3,RURAL,N
12,GOVT,M,SC,59000,PEON,NO,76,5,YES,4,RURAL,Y
16,PVT,F,GEN,144073,ACCOUNTANT,NO,78,2,NO,11,RURAL,Y
17,GOVT,F,GEN,216842,ACCOUNTANT,NO,87,1,YES,11,URBAN,N
10,GOVT,F,SC,98870,LABOUR,NO,63,3,YES,4,RURAL,Y
18,PVT,F,GEN,136844,BUSINESS,YES,81,2,NO,8,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,1,NO,8,URBAN,N
11,GOVT,M,ST,126191,ACCOUNTANT,NO,89,2,NO,12,RURAL,Y
17,PVT,F,GEN,280425,PEON,NO,89,1,YES,12,RURAL,N
14,GOVT,M,ST,123597,TEACHER,NO,69,3,NO,4,RURAL,Y
18,GOVT,F,GEN,257061,PEON,NO,60,1,NO,9,URBAN,N
18,PVT,F,GEN,223405,LABOUR,NO,88,1,NO,9,RURAL,N
14,GOVT,M,GEN,110133,LABOUR,NO,60,4,NO,4,RURAL,N
16,PVT,M,GEN,90030,LABOUR,YES,81,2,NO,3,RURAL,N
12,GOVT,M,ST,59000,LABOUR,NO,62,4,YES,4,RURAL,Y
18,GOVT,F,GEN,172109,FARMER,NO,56,1,YES,12,RURAL,N
12,GOVT,M,SC,59000,FARMER,NO,61,5,YES,3,RURAL,Y
18,PVT,F,GEN,76017,LABOUR,YES,89,2,NO,9,URBAN,N
13,GOVT,F,GEN,143730,PEON,NO,55,2,YES,4,URBAN,Y
16,PVT,F,GEN,223934,TEACHER,NO,88,3,NO,9,RURAL,N
12,PVT,M,GEN,101252,ACCOUNTANT,YES,73,4,NO,3,URBAN,N
17,PVT,F,GEN,270238,BUSINESS,YES,89,1,NO,8,URBAN,N
15,GOVT,F,SC,129640,FARMER,YES,88,2,NO,10,RURAL,N
18,PVT,F,GEN,300000,BUSINESS,NO,85,1,NO,9,RURAL,N
15,GOVT,M,OBC,87273,PEON,NO,55,5,YES,5,RURAL,Y
18,PVT,F,ST,154590,ACCOUNTANT,NO,76,2,YES,10,URBAN,N
11,GOVT,M,OBC,96525,PEON,NO,63,3,NO,4,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,NO,83,2,NO,9,URBAN,N
17,PVT,F,GEN,193998,ACCOUNTANT,YES,76,2,NO,10,URBAN,N
11,GOVT,M,OBC,77321,LABOUR,NO,57,5,YES,3,RURAL,Y
18,GOVT,M,GEN,204425,BUSINESS,YES,82,2,NO,8,URBAN,N
17,GOVT,M,OBC,68751,ACCOUNTANT,YES,74,2,NO,9,URBAN,N
16,GOVT,M,GEN,108872,TEACHER,NO,81,5,NO,8,URBAN,Y
10,GOVT,M,OBC,60917,LABOUR,NO,75,5,YES,3,RURAL,Y
18,PVT,M,OBC,239073,ACCOUNTANT,NO,67,1,NO,9,RURAL,N
18,GOVT,F,OBC,144029,LABOUR,NO,63,1,NO,10,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,NO,84,1,NO,11,RURAL,N
17,PVT,F,GEN,277803,BUSINESS,YES,82,1,NO,9,URBAN,N
18,GOVT,M,OBC,118796,FARMER,NO,60,1,YES,11,RURAL,N
12,GOVT,M,GEN,59000,LABOUR,YES,65,2,NO,10,URBAN,N
11,GOVT,F,GEN,115961,BUSINESS,YES,75,3,NO,3,RURAL,Y
11,GOVT,F,OBC,91155,LABOUR,NO,62,4,YES,3,RURAL,Y
17,PVT,M,GEN,89017,BUSINESS,YES,63,1,NO,10,URBAN,N
11,GOVT,M,ST,68600,LABOUR,YES,55,5,YES,3,RURAL,Y
13,GOVT,M,SC,59000,LABOUR,YES,73,5,NO,3,URBAN,Y
17,PVT,M,OBC,129999,ACCOUNTANT,NO,82,2,YES,12,RURAL,N
13,GOVT,M,SC,59000,FARMER,NO,62,5,YES,3,RURAL,N
17,PVT,F,GEN,300000,BUSINESS,NO,86,1,NO,8,URBAN,N
14,GOVT,M,ST,95466,LABOUR,NO,64,5,YES,5,RURAL,Y
18,GOVT,M,GEN,284566,LABOUR,NO,89,1,NO,11,URBAN,N
17,GOVT,M,OBC,77229,FARMER,NO,62,2,YES,4,RURAL,Y
15,PVT,F,GEN,212986,ACCOUNTANT,NO,88,2,NO,10,URBAN,N
12,GOVT,M,OBC,119435,TEACHER,NO,80,2,NO,5,RURAL,Y
14,GOVT,M,OBC,110941,ACCOUNTANT,NO,76,4,YES,3,RURAL,N
16,PVT,F,GEN,132965,ACCOUNTANT,NO,86,1,YES,12,RURAL,Y
10,GOVT,M,SC,106727,LABOUR,NO,73,4,NO,3,RURAL,Y
15,GOVT,F,GEN,104273,LABOUR,NO,76,3,NO,4,RURAL,Y
11,GOVT,M,OBC,124061,LABOUR,NO,67,4,YES,4,RURAL,N
15,PVT,F,GEN,123156,BUSINESS,NO,64,2,NO,8,RURAL,N
16,PVT,F,GEN,182929,BUSINESS,YES,89,1,NO,8,URBAN,N
11,GOVT,M,OBC,79308,LABOUR,NO,63,4,YES,4,RURAL,Y
15,PVT,M,GEN,300000,LABOUR,NO,74,2,NO,11,RURAL,N
12,GOVT,M,ST,64913,LABOUR,NO,59,4,YES,4,RURAL,Y
12,GOVT,M,OBC,65435,LABOUR,YES,61,5,YES,4,RURAL,Y
16,PVT,F,GEN,218167,ACCOUNTANT,YES,89,2,NO,9,URBAN,Y
18,GOVT,M,OBC,146136,PEON,NO,66,2,NO,10,RURAL,Y
12,GOVT,M,SC,68049,TEACHER,NO,74,5,NO,3,URBAN,Y
11,GOVT,F,SC,63283,LABOUR,YES,66,3,NO,3,URBAN,Y
15,GOVT,M,SC,94498,LABOUR,NO,72,4,YES,3,RURAL,Y
18,PVT,F,GEN,168229,FARMER,NO,59,1,YES,10,RURAL,Y
16,GOVT,F,GEN,104290,LABOUR,NO,71,4,YES,3,RURAL,Y
16,PVT,F,OBC,184820,ACCOUNTANT,YES,89,2,NO,9,RURAL,Y
12,GOVT,M,GEN,81267,PEON,NO,80,3,YES,4,RURAL,Y
13,GOVT,M,SC,87277,LABOUR,NO,64,3,YES,4,RURAL,Y
13,GOVT,M,SC,83909,LABOUR,NO,74,4,YES,4,RURAL,Y
15,PVT,F,GEN,300000,PEON,NO,72,1,NO,10,RURAL,N
11,GOVT,M,ST,59000,LABOUR,NO,57,5,NO,4,RURAL,Y
11,GOVT,M,SC,141907,PEON,NO,66,4,YES,4,RURAL,Y
15,GOVT,M,SC,142658,TEACHER,YES,62,3,YES,3,RURAL,Y
13,GOVT,M,OBC,83318,LABOUR,NO,62,4,NO,4,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,NO,83,2,NO,10,URBAN,N
18,PVT,F,GEN,203914,ACCOUNTANT,YES,86,2,NO,8,RURAL,Y
17,PVT,F,GEN,118823,BUSINESS,NO,55,1,NO,10,URBAN,Y
17,PVT,F,GEN,300000,LABOUR,YES,89,1,NO,11,RURAL,Y
18,GOVT,M,GEN,104475,LABOUR,YES,67,1,NO,5,RURAL,Y
13,GOVT,M,SC,114352,PEON,NO,70,1,YES,4,RURAL,Y
17,GOVT,F,ST,181773,PEON,NO,82,2,NO,3,URBAN,N
18,PVT,M,GEN,116352,LABOUR,NO,84,1,NO,8,RURAL,Y
16,PVT,M,GEN,212036,ACCOUNTANT,NO,69,1,NO,8,URBAN,N
18,GOVT,F,GEN,124122,PEON,YES,80,2,YES,8,URBAN,N
18,PVT,F,GEN,132720,TEACHER,NO,66,1,YES,5,URBAN,N
12,GOVT,M,OBC,124529,TEACHER,NO,63,4,YES,3,RURAL,Y
13,GOVT,M,OBC,86553,LABOUR,NO,59,3,NO,10,RURAL,Y
16,GOVT,M,OBC,59000,LABOUR,YES,64,4,NO,3,RURAL,Y
13,GOVT,F,SC,93035,LABOUR,NO,63,4,YES,5,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,YES,89,2,NO,11,RURAL,N
12,GOVT,M,OBC,98774,FARMER,NO,75,3,YES,4,RURAL,Y
15,GOVT,M,OBC,59000,LABOUR,NO,63,4,YES,3,RURAL,Y
18,PVT,F,GEN,248073,PEON,NO,66,1,YES,12,RURAL,N
13,GOVT,M,GEN,99528,LABOUR,YES,74,4,NO,3,RURAL,Y
15,GOVT,M,OBC,121911,LABOUR,NO,63,3,YES,5,RURAL,Y
15,GOVT,F,GEN,98720,LABOUR,YES,71,3,NO,3,URBAN,Y
13,GOVT,M,ST,80659,LABOUR,NO,72,4,YES,3,RURAL,Y
14,GOVT,M,ST,96710,LABOUR,NO,65,4,YES,4,RURAL,Y
18,PVT,M,GEN,300000,ACCOUNTANT,NO,89,1,NO,11,URBAN,N
18,PVT,M,GEN,187206,PEON,NO,57,1,YES,10,RURAL,N
18,PVT,F,OBC,156930,FARMER,NO,63,1,YES,12,RURAL,N
17,PVT,F,GEN,300000,BUSINESS,NO,89,1,NO,8,URBAN,N
17,PVT,F,GEN,300000,ACCOUNTANT,NO,89,2,NO,8,URBAN,N
18,PVT,M,OBC,174686,ACCOUNTANT,YES,89,3,NO,9,URBAN,Y
17,GOVT,F,GEN,101977,PEON,NO,88,1,YES,10,RURAL,Y
17,PVT,F,GEN,193445,BUSINESS,YES,89,3,NO,9,URBAN,N
13,GOVT,M,GEN,159616,LABOUR,NO,75,2,YES,4,RURAL,N
12,GOVT,M,OBC,100263,TEACHER,YES,75,4,NO,3,RURAL,Y
17,PVT,F,GEN,257599,ACCOUNTANT,NO,86,1,NO,10,URBAN,N
17,PVT,F,GEN,155240,ACCOUNTANT,NO,89,2,NO,10,URBAN,N
12,GOVT,F,GEN,120571,FARMER,NO,63,3,YES,6,RURAL,Y
17,PVT,F,GEN,300000,PEON,NO,89,3,NO,8,URBAN,N
17,PVT,M,GEN,134360,TEACHER,YES,89,4,NO,9,RURAL,N
18,PVT,F,OBC,300000,ACCOUNTANT,YES,89,2,NO,10,URBAN,N
15,GOVT,M,OBC,59000,PEON,NO,55,4,YES,5,RURAL,Y
9,GOVT,M,ST,115592,LABOUR,YES,72,4,YES,4,RURAL,N
18,PVT,M,GEN,96883,FARMER,NO,89,4,NO,9,URBAN,Y
14,PVT,F,OBC,300000,ACCOUNTANT,YES,84,2,NO,9,URBAN,N
18,PVT,F,GEN,291587,ACCOUNTANT,NO,57,1,NO,10,URBAN,N
18,PVT,F,GEN,178007,BUSINESS,YES,89,1,NO,11,URBAN,N
12,GOVT,M,SC,77181,LABOUR,NO,60,4,NO,4,RURAL,Y
17,GOVT,M,OBC,60633,FARMER,YES,57,5,YES,4,RURAL,N
17,GOVT,F,GEN,78945,TEACHER,NO,75,2,YES,4,RURAL,Y
15,PVT,F,GEN,103354,PEON,YES,84,2,YES,9,URBAN,N
16,PVT,M,OBC,251614,LABOUR,NO,62,2,NO,4,RURAL,Y
16,GOVT,F,OBC,108275,LABOUR,NO,55,2,NO,4,RURAL,Y
18,GOVT,M,GEN,121656,FARMER,NO,89,2,YES,11,RURAL,N
17,PVT,F,GEN,192040,FARMER,NO,82,1,NO,8,URBAN,N
12,GOVT,M,SC,90664,PEON,NO,65,3,YES,3,URBAN,Y
18,GOVT,M,SC,110553,LABOUR,NO,57,2,YES,3,RURAL,Y
17,PVT,F,GEN,300000,ACCOUNTANT,YES,88,2,NO,8,URBAN,N
16,PVT,F,GEN,300000,ACCOUNTANT,NO,87,1,NO,9,URBAN,N
17,GOVT,F,GEN,123950,BUSINESS,NO,88,1,NO,10,RURAL,N
13,GOVT,M,SC,59000,FARMER,NO,61,4,YES,3,RURAL,Y
17,PVT,F,GEN,215388,ACCOUNTANT,YES,86,2,NO,8,RURAL,N
10,GOVT,M,OBC,88045,LABOUR,YES,61,4,YES,3,RURAL,Y
18,PVT,F,GEN,300000,ACCOUNTANT,NO,83,1,NO,10,URBAN,N
14,GOVT,F,GEN,129439,PEON,NO,60,4,YES,4,RURAL,Y
14,GOVT,M,ST,125726,PEON,NO,73,4,NO,4,RURAL,Y
11,GOVT,M,SC,72367,LABOUR,NO,55,5,YES,4,RURAL,Y
12,GOVT,M,ST,103558,LABOUR,NO,72,5,NO,4,RURAL,Y
16,PVT,F,GEN,205331,ACCOUNTANT,NO,89,2,NO,7,URBAN,N
18,PVT,F,GEN,300000,ACCOUNTANT,NO,86,1,NO,11,URBAN,N
12,GOVT,M,GEN,111171,TEACHER,YES,55,4,YES,3,RURAL,Y
14,GOVT,M,SC,59000,FARMER,NO,65,5,YES,4,RURAL,Y
18,GOVT,M,SC,105745,BUSINESS,NO,66,3,YES,12,RURAL,Y
15,PVT,F,OBC,89401,LABOUR,NO,70,3,YES,4,RURAL,Y
11,GOVT,M,OBC,59000,LABOUR,NO,61,4,YES,6,RURAL,Y
11,GOVT,M,OBC,133925,FARMER,NO,72,3,YES,9,URBAN,Y
14,GOVT,M,SC,105827,LABOUR,NO,61,4,YES,4,RURAL,Y
9,GOVT,M,GEN,77232,TEACHER,NO,72,4,YES,4,RURAL,Y
18,PVT,F,OBC,300000,ACCOUNTANT,NO,84,1,YES,12,RURAL,Y
17,PVT,F,GEN,258793,ACCOUNTANT,NO,84,2,NO,9,URBAN,N
